Time.hours,Time.days,Treatment,Flask,CO2.ppm,m.z
1150.0,47.91666667,12C700,6,97.19268000000001,44
41.0,1.7083333330000001,12C700,7,2734.16073,44
114.0,4.75,12C700,7,1083.20128,44
157.5,6.5625,12C700,7,403.5302,44
204.5,8.520833332999999,12C700,7,1188.1566699999998,44
274.5,11.4375,12C700,7,1442.42614,44
321.5,13.39583333,12C700,7,647.0274,44
391.0,16.29166667,12C700,7,1221.45672,44
463.5,19.3125,12C700,7,2252.52119,44
487.0,20.29166667,12C700,7,695.67502,44
535.0,22.29166667,12C700,7,1214.2273699999998,44
581.5,24.22916667,12C700,7,991.6682300000001,44
653.25,27.21875,12C700,7,910.27532,44
699.75,29.15625,12C700,7,608.42538,44
749.75,31.23958333,12C700,7,536.42605,44
796.25,33.17708333,12C700,7,578.00335,44
815.25,33.96875,12C700,7,223.81744,44
868.25,36.17708333,12C700,7,484.09607,44
915.25,38.13541667,12C700,7,160.65076000000002,44
962.75,40.11458333,12C700,7,320.25327000000004,44
986.75,41.11458333,12C700,7,186.92221999999998,44
1031.25,42.96875,12C700,7,367.33515,44
1078.75,44.94791667,12C700,7,258.5329,44
1103.0,45.95833333,12C700,7,228.93382000000003,44
1126.0,46.91666667,12C700,7,53.046440000000004,44
1150.0,47.91666667,12C700,7,91.02571999999999,44
41.0,1.7083333330000001,12C700,8,2495.80105,44
114.0,4.75,12C700,8,1247.98579,44
157.5,6.5625,12C700,8,465.6941,44
204.5,8.520833332999999,12C700,8,1179.07549,44
274.5,11.4375,12C700,8,1485.04733,44
321.5,13.39583333,12C700,8,810.6733,44
391.0,16.29166667,12C700,8,1541.01203,44
463.5,19.3125,12C700,8,2450.59679,44
487.0,20.29166667,12C700,8,731.89397,44
535.0,22.29166667,12C700,8,1057.16225,44
581.5,24.22916667,12C700,8,860.3476,44
653.25,27.21875,12C700,8,815.1739,44
699.75,29.15625,12C700,8,574.40737,44
749.75,31.23958333,12C700,8,606.87822,44
796.25,33.17708333,12C700,8,422.83873,44
815.25,33.96875,12C700,8,267.62252,44
41.0,1.7083333330000001,12C700,9,2671.4930600000002,44
114.0,4.75,12C700,9,554.82711,44
157.5,6.5625,12C700,9,469.47617,44
204.5,8.520833332999999,12C700,9,814.43608,44
274.5,11.4375,12C700,9,1428.58905,44
321.5,13.39583333,12C700,9,874.39386,44
391.0,16.29166667,12C700,9,1289.91698,44
463.5,19.3125,12C700,9,1972.31964,44
487.0,20.29166667,12C700,9,608.77607,44
535.0,22.29166667,12C700,9,1037.66076,44
581.5,24.22916667,12C700,9,956.89594,44
653.25,27.21875,12C700,9,933.6573400000001,44
699.75,29.15625,12C700,9,609.06103,44
749.75,31.23958333,12C700,9,535.3952099999999,44
796.25,33.17708333,12C700,9,455.9723,44
815.25,33.96875,12C700,9,216.96222000000003,44
41.0,1.7083333330000001,12C700,10,2754.663,44
114.0,4.75,12C700,10,505.12614,44
157.5,6.5625,12C700,10,672.1058400000001,44
204.5,8.520833332999999,12C700,10,703.7108099999999,44
274.5,11.4375,12C700,10,1578.59955,44
321.5,13.39583333,12C700,10,851.50076,44
